,China,Egypt,France,Greece,Iceland,Italy,Japan,Maldives,Palestine,Saudi Arabia,Spain,Switzerland,Turkey,USA
China,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Egypt,0,5,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,9,0,0,0,0,0,0,0,0,1,0,0
Greece,0,1,0,6,0,0,0,1,0,0,0,0,0,0
Iceland,0,0,0,0,3,0,0,1,0,0,0,0,0,0
Italy,0,0,0,0,1,9,2,0,0,0,0,0,0,0
Japan,0,1,0,0,0,2,8,0,0,0,0,0,0,1
Maldives,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Palestine,0,0,1,0,0,0,0,1,7,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Spain,0,0,0,0,1,1,0,0,0,0,8,0,0,0
Switzerland,0,0,0,0,0,1,0,0,0,0,1,7,0,0
Turkey,0,1,1,0,0,0,1,0,0,0,0,0,3,0
USA,0,0,0,0,1,0,0,1,0,0,0,0,0,4
