,China,Egypt,France,Greece,Iceland,Italy,Japan,Maldives,Palestine,Saudi Arabia,Spain,Switzerland,Turkey,USA
China,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Egypt,0,4,0,0,0,0,0,0,0,0,0,1,0,0
France,0,0,9,0,0,0,1,0,0,0,0,0,0,0
Greece,0,1,0,6,0,0,0,1,0,0,0,0,0,0
Iceland,0,0,0,0,3,0,0,1,0,0,0,0,0,0
Italy,0,0,0,0,0,10,1,0,0,0,0,1,0,0
Japan,0,0,0,0,0,1,10,0,0,0,0,1,0,0
Maldives,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Palestine,0,0,0,1,0,0,0,0,7,0,1,0,0,0
Saudi Arabia,0,0,0,0,0,0,1,0,0,4,0,0,0,0
Spain,0,0,0,0,0,0,1,0,0,0,8,1,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Turkey,0,0,1,0,0,0,1,0,0,0,0,0,4,0
USA,0,0,0,0,0,0,0,1,0,0,0,1,0,4
