,Brazil,Canada,China,Egypt,France,Greece,Iceland,Indonesia,Italy,Japan,Jordan,Maldives,Palestine,Saudi Arabia,Spain,Switzerland,Turkey,USA,United Arab Emirates
Brazil,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
China,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Egypt,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
Iceland,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Italy,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0
Japan,1,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
Spain,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1
Switzerland,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
USA,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
