params,mean_test_score,std_test_score,rank_test_score
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 200}",0.7627257171269824,0.053856800268833764,1
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}",0.7598746594407625,0.05624928086657847,2
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.7548070086961559,0.04834433127145927,3
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 100}",0.7537898220467243,0.04748096882754334,4
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.7532965537339932,0.0457380897636229,5
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 300}",0.752085492006952,0.05283459383507369,6
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 300}",0.7517755721366607,0.04685540438158617,7
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 200}",0.7517701518080475,0.04603571107186282,8
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.7493809837713884,0.049672919958909996,9
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.7476957180909191,0.047901911474780096,10
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.7459109360756745,0.05756701588472853,11
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 300}",0.7458861257936718,0.04569617100555616,12
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.7457457874070788,0.04586715441270721,13
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.7450932738719507,0.049293072396528824,14
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300}",0.7450603670420606,0.04423637139925704,15
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7413627350554117,0.04981430850979419,16
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 50}",0.740010344986066,0.05812955051133967,17
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.7394334800769046,0.03801023953478649,18
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.7392044438162426,0.045079160077489674,19
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.735169141828535,0.043498987490962086,20
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.7320443001874731,0.052445416120353354,21
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.7308187975929968,0.05656525363338366,22
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7293709469639574,0.03997482828527529,23
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7288620815933836,0.04571324771725555,24
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7288482302027443,0.043100607925098476,25
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.7272091901308485,0.05650546287650278,26
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.7263386197384893,0.052462561981672505,27
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 50}",0.7254329258632665,0.04151570562837645,28
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.7179684122675246,0.048031765830260933,29
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.6971906025009473,0.05402750234702791,30
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.6970290977451394,0.04328861203655118,31
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.6791240874795685,0.07182009373500642,32
