params,mean_test_score,std_test_score,rank_test_score
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 200}",0.8167086065931709,0.06417015469449619,1
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 300}",0.813500703187471,0.06431380265877384,2
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.8105259644036733,0.04361756989849962,3
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.8100228387536331,0.062479274666995176,4
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.8090441209635294,0.06354090481116147,5
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 300}",0.8089851915642641,0.06277175011261289,6
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 300}",0.8088544483511312,0.06125734281156579,7
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8084326850848301,0.04722605951989691,8
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.8071670790755267,0.06339395328879842,9
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.806771637138068,0.05314244602447558,10
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}",0.8056888545549776,0.06442173520524139,11
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 200}",0.8039596076438181,0.054228496770544934,12
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 100}",0.8016917423330515,0.07695945919012731,13
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300}",0.8004596971901261,0.06349951142545796,14
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.79949074569508,0.038335281189703405,15
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.7983991262088679,0.03988086126390489,16
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.7975547116426489,0.06138883120840566,17
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.7966747731098826,0.05757231442060794,18
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7959254507451439,0.059237024220912565,19
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.7958640716976775,0.06384633664378656,20
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.7955066439940389,0.03862910002409368,21
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7939730441966178,0.04331018716204883,22
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.7891217864037221,0.06030016001312298,23
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 50}",0.7888940998300074,0.05852427292422477,24
"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.788552603456984,0.04688613243724373,25
"{'class_weight': 'balanced', 'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 50}",0.7882277293774418,0.04821191428061566,26
"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.7835379742100144,0.03929342766794268,27
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7833147367175789,0.05960951351800256,28
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7812912159915697,0.06401502358625992,29
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7630898791696246,0.05022370965294683,30
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.7445094939787553,0.05508107177316104,31
"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.733927821060948,0.06270644084050836,32
