params,mean_test_score,std_test_score,rank_test_score
"{'C': 1.0, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.8048883662291255,0.060769078349739,1
"{'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.8048883662291255,0.060769078349739,1
"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.7966133059124232,0.05473830077018369,3
"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.7966133059124232,0.05473830077018369,3
"{'C': 100.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.7712129133970027,0.049172030670741475,5
"{'C': 100.0, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.7712129133970027,0.049172030670741475,5
"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.7630907048032551,0.06812928095974165,7
"{'C': 100.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.7630907048032551,0.06812928095974165,7
"{'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.7493826944603287,0.08114548764583801,9
"{'C': 100.0, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.36190806940466136,0.14414954532697755,10
"{'C': 1.0, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.05043083788574271,0.03404730791257504,11
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.049881832343721774,0.009569999818979595,12
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.049881832343721774,0.009569999818979595,12
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.040328528318246334,0.025584115116686013,14
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.03912806832594329,0.017918002699506202,15
"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.029769684774011353,0.019519639008713056,16
